,Product Name,Month,Year,Channel,Sub-channel,Sales
1578,Aclonuma,February,2018,Pharmacy,Retail,253116.0
16696,Decidenu Galantrigine,May,2019,Pharmacy,Retail,253110.0
3665,Afinitasol,February,2019,Hospital,Government,253110.0
10108,Argalazine Abostryl,August,2018,Pharmacy,Institution,253084.0
10855,Atomorelin,April,2017,Pharmacy,Retail,253080.0
19811,Ergomethate,August,2018,Pharmacy,Institution,253076.0
28433,Lovepion,July,2019,Hospital,Private,252960.0
13420,Choriotrisin,June,2017,Pharmacy,Institution,252948.0
2501,Adideine,August,2019,Pharmacy,Institution,252894.0
27611,Liomulin,August,2019,Pharmacy,Institution,252840.0
4734,Aggretisol,October,2019,Pharmacy,Retail,252830.0
17900,Diprotaine,April,2019,Pharmacy,Institution,252810.0
6174,Alimmethate Insudase,July,2019,Hospital,Government,252720.0
13195,Choriogestrel,January,2017,Hospital,Government,252616.0
28206,Lovephilus,February,2018,Hospital,Private,252588.0
17622,Diazemid Felcept,March,2017,Hospital,Private,252556.0
21673,Flutacerol,September,2017,Pharmacy,Institution,252555.0
34294,Pulmofine,February,2018,Pharmacy,Institution,252496.0
18255,Docstryl Rivacin,October,2020,Pharmacy,Retail,252480.0
9984,Araxetine,July,2019,Hospital,Private,252450.0
17350,Diaxolol,August,2020,Pharmacy,Retail,252450.0
23844,Imiformin Transmunex,January,2017,Hospital,Government,252400.0
1893,Acubulin,September,2017,Pharmacy,Retail,252350.0
11702,Betanem,July,2019,Hospital,Private,252343.0
23643,Imiderm Vibranovate,February,2018,Hospital,Private,252330.0
34467,Pulmogen Alitora,December,2018,Hospital,Government,252330.0
36289,Ribabyclor,November,2019,Hospital,Government,252322.0
4650,Aggretisol,July,2018,Pharmacy,Retail,252306.0
27522,Lioletine Refliruvax,May,2017,Hospital,Private,252300.0
32841,Presetron,March,2019,Pharmacy,Retail,252288.0
12520,Ceftatana Serolamide,November,2017,Hospital,Government,252280.0
3616,Afinitasol,April,2018,Pharmacy,Retail,252252.0
14617,Clinolan Pitoletra,November,2018,Pharmacy,Retail,252200.0
24226,Insozyme,January,2017,Hospital,Private,252175.0
4135,Afretosine,November,2017,Hospital,Private,252096.0
41869,Topipizole,December,2019,Hospital,Government,252080.0
37494,Sevotrana Tiafoxin,August,2020,Pharmacy,Institution,252080.0
43074,Trazozaprine,June,2019,Hospital,Private,252048.0
33483,Proprabax,April,2017,Hospital,Private,252032.0
32041,Pazofenac,July,2017,Hospital,Government,252027.0
10025,Araxetine,May,2017,Pharmacy,Retail,252000.0
31126,Novakyn Tracprox,March,2018,Hospital,Government,252000.0
39757,Tacrodomide,August,2017,Pharmacy,Institution,252000.0
20306,Exotropin Empizine,May,2019,Hospital,Private,251985.0
17577,Diazemid Felcept,January,2018,Hospital,Government,251943.0
23600,Imiderm Vibranovate,April,2019,Hospital,Private,251940.0
30158,Microroban Afatigomar,June,2018,Hospital,Private,251906.0
36256,Ribabyclor,March,2018,Pharmacy,Retail,251853.0
26776,Lacoplex Hyaluvance,November,2018,Hospital,Government,251836.0
917,Abtasol,November,2020,Hospital,Private,251836.0
40432,Testant,March,2019,Pharmacy,Institution,251808.0
38695,Sumanazole,July,2020,Hospital,Government,251804.0
24138,Immurenol Temarate,October,2019,Hospital,Government,251793.0
25686,Ketastadil,April,2018,Pharmacy,Institution,251790.0
6476,Allomenda,April,2018,Pharmacy,Retail,251779.0
25231,Invisteride Diclomycin,March,2020,Hospital,Government,251764.0
41831,Topipizole,April,2017,Pharmacy,Institution,251712.0
12507,Ceftatana Serolamide,May,2017,Pharmacy,Retail,251685.0
13284,Choriogestrel,November,2019,Pharmacy,Institution,251575.0
16288,Darlofen,March,2017,Hospital,Government,251572.0
37068,Saprodeine Zanprosyn,October,2019,Pharmacy,Institution,251550.0
26814,Lacoplex Hyaluvance,September,2019,Pharmacy,Institution,251502.0
3047,Adriafinil Ehtymara,April,2018,Pharmacy,Institution,251450.0
16175,Dantolac Pazocor,September,2020,Pharmacy,Retail,251430.0
27198,Lansopril Acribax,September,2020,Hospital,Government,251412.0
15071,Cordamectin Actolamin,December,2017,Hospital,Government,251395.0
40200,Tesnorphine Silotamine,July,2017,Pharmacy,Institution,251372.0
43139,Trazozaprine,October,2019,Pharmacy,Institution,251340.0
43038,Trazozaprine,January,2018,Hospital,Private,251340.0
17648,Diazemid Felcept,May,2020,Hospital,Government,251330.0
23850,Imiformin Transmunex,January,2018,Pharmacy,Institution,251200.0
20204,Exotropin Empizine,December,2017,Pharmacy,Institution,251200.0
9243,Aprerase,March,2017,Hospital,Government,251196.0
13429,Choriotrisin,June,2019,Pharmacy,Retail,251175.0
9741,Aquamycin Lacoran,December,2018,Hospital,Private,251160.0
12333,Brimorix Amonine,November,2018,Hospital,Private,251138.0
41077,Theopril,April,2018,Hospital,Government,251136.0
11630,Betanem,August,2017,Hospital,Government,251121.0
34192,Pulmodiol Adalaxime,May,2020,Pharmacy,Retail,251075.0
26218,Kinerinex,November,2020,Pharmacy,Retail,251036.0
29238,Malaxolol Aeroprosyn,May,2017,Pharmacy,Institution,251000.0
16279,Darlofen,June,2018,Pharmacy,Retail,250995.0
42392,Tracdomide,September,2019,Hospital,Private,250984.0
43933,Victomine,August,2017,Hospital,Government,250980.0
7146,Amamadin,June,2020,Pharmacy,Institution,250976.0
20106,Exexone,March,2020,Pharmacy,Institution,250950.0
30087,Microroban Afatigomar,August,2020,Pharmacy,Institution,250950.0
17469,Diaxolol,November,2018,Pharmacy,Retail,250920.0
18156,Docstryl Rivacin,January,2020,Hospital,Government,250902.0
1719,Acubulin,April,2018,Hospital,Government,250880.0
15380,Cortirodine Alimcline,November,2019,Hospital,Government,250880.0
2591,Adideine,March,2018,Hospital,Government,250860.0
45024,Zonitonin,October,2017,Pharmacy,Retail,250712.0
28146,Lovavatol Azelavarix,September,2018,Pharmacy,Institution,250690.0
14495,Clinolan Pitoletra,August,2020,Hospital,Government,250640.0
35102,Ranediol,June,2019,Pharmacy,Institution,250625.0
25668,Ketamara Evogel,September,2017,Pharmacy,Retail,250624.0
10307,Arivac,August,2020,Pharmacy,Retail,250614.0
721,Abranatal Lysoprosate,November,2018,Pharmacy,Retail,250608.0
19695,Epzipitant,June,2017,Hospital,Private,250516.0
9457,Apromin,May,2018,Pharmacy,Retail,250500.0
12562,Ceftatana Serolamide,September,2019,Pharmacy,Retail,250495.0
31896,Paronium Atracustone,March,2020,Pharmacy,Retail,250470.0
9232,Aprerase,June,2018,Hospital,Private,250470.0
34070,Pulmodiol Adalaxime,August,2018,Hospital,Government,250470.0
36242,Ribabyclor,June,2019,Hospital,Private,250446.0
43841,Victomax,March,2018,Hospital,Government,250446.0
3282,Adtiza Gammaluble,February,2018,Hospital,Government,250408.0
6477,Allomenda,April,2019,Hospital,Government,250318.0
18995,Effidomide Evofribrate,November,2019,Pharmacy,Retail,250308.0
8677,Angioparin Brimosumab,March,2018,Hospital,Private,250294.0
31188,Novakyn Tracprox,September,2017,Pharmacy,Retail,250272.0
41740,Topifribrate,June,2018,Hospital,Private,250263.0
28308,Lovephilus,November,2019,Pharmacy,Retail,250260.0
16594,Decidenu Galantrigine,December,2018,Hospital,Private,250160.0
16399,Dasagestin,December,2017,Hospital,Government,250128.0
1416,Aciprex,July,2018,Hospital,Private,250074.0
29129,Malaxolol Aeroprosyn,August,2018,Hospital,Private,249996.0
41569,Tiaracil,March,2019,Hospital,Government,249966.0
30832,Nisorase,April,2020,Hospital,Government,249948.0
25498,Ketamara Evogel,April,2019,Hospital,Government,249920.0
22265,Halcifergen Nevazone,April,2019,Hospital,Private,249920.0
22277,Halcifergen Nevazone,August,2018,Hospital,Private,249920.0
2140,Acycpex,December,2019,Pharmacy,Retail,249900.0
1730,Acubulin,April,2020,Pharmacy,Retail,249900.0
2168,Acycpex,January,2018,Pharmacy,Retail,249900.0
2230,Acycpex,May,2018,Hospital,Private,249900.0
30575,Neuropogen Empibax,May,2019,Pharmacy,Institution,249865.0
23459,Ibrulinum,February,2019,Pharmacy,Institution,249850.0
8900,Antaparin Varizyme,November,2019,Hospital,Government,249831.0
8871,Antaparin Varizyme,March,2019,Pharmacy,Retail,249831.0
15662,Cyclovital,February,2018,Pharmacy,Institution,249813.0
26564,Kiovax Tercorolac,March,2020,Pharmacy,Institution,249812.0
8725,Angioparin Brimosumab,October,2018,Hospital,Private,249612.0
6168,Alimmethate Insudase,July,2017,Pharmacy,Institution,249600.0
19463,Eproline,February,2018,Pharmacy,Institution,249600.0
23769,Imiderm Vibranovate,September,2018,Hospital,Government,249600.0
8223,Ampysin,December,2020,Pharmacy,Institution,249561.0
27295,Lansostral Acgestin,July,2020,Hospital,Private,249546.0
11209,Atrabicin Alkerotec,October,2018,Pharmacy,Retail,249498.0
19942,Ergomethate,November,2019,Hospital,Private,249452.0
38040,Spiroderall,April,2018,Pharmacy,Retail,249446.0
1942,Acycnafine Microvate,December,2018,Hospital,Government,249382.0
9437,Apromin,March,2017,Pharmacy,Retail,249375.0
12673,Cephovelam,June,2020,Hospital,Government,249320.0
2414,Adalatamine,May,2017,Pharmacy,Institution,249316.0
10102,Argalazine Abostryl,August,2017,Hospital,Government,249316.0
5747,Algluconium Dorzofoxin,December,2019,Pharmacy,Institution,249288.0
18306,Dorzovorin Pentadarone,December,2017,Pharmacy,Retail,249280.0
6368,Alisteride Pemidizem,July,2019,Pharmacy,Retail,249270.0
39284,Symbitrim,March,2017,Pharmacy,Retail,249240.0
29696,Metapatch,April,2020,Pharmacy,Retail,249222.0
43018,Trazozaprine,February,2017,Hospital,Government,249216.0
23764,Imiderm Vibranovate,October,2020,Pharmacy,Retail,249210.0
42130,Topitaine,June,2020,Pharmacy,Retail,249194.0
41567,Tiaracil,March,2018,Pharmacy,Institution,249156.0
36514,Robapril,September,2019,Pharmacy,Institution,249150.0
44593,Zarostral,June,2020,Pharmacy,Institution,249147.0
15620,Cyclovital,April,2019,Pharmacy,Retail,249136.0
31165,Novakyn Tracprox,November,2020,Hospital,Government,249120.0
39464,Symdocet,June,2019,Pharmacy,Institution,249100.0
3034,Adriacaine,September,2019,Hospital,Private,249090.0
14079,Claripenem,September,2019,Hospital,Government,249088.0
20756,Fentalac,August,2017,Pharmacy,Institution,249054.0
39134,Symbisine Prednimadin,November,2020,Hospital,Government,248976.0
33530,Proprabax,February,2017,Hospital,Private,248960.0
5630,Alemtuvatol Megalinum,March,2017,Pharmacy,Retail,248930.0
4847,Alarudin Azarolac,July,2020,Hospital,Government,248913.0
6808,Alpharolac,November,2018,Pharmacy,Institution,248911.0
41403,Thionide,May,2020,Pharmacy,Institution,248826.0
38037,Spiroderall,April,2018,Hospital,Government,248793.0
38075,Spiroderall,December,2019,Pharmacy,Institution,248793.0
42347,Tracdomide,May,2019,Pharmacy,Institution,248792.0
35890,Relenvice,May,2019,Hospital,Government,248778.0
18572,Doxivorin,June,2020,Pharmacy,Retail,248712.0
18631,Doxivorin,October,2020,Hospital,Government,248712.0
16314,Darlofen,May,2019,Pharmacy,Institution,248687.0
33792,Propralamide Dexlanzolam,March,2019,Pharmacy,Retail,248676.0
15833,Dantocept Ferurenone,December,2017,Pharmacy,Institution,248670.0
25191,Invisteride Diclomycin,July,2017,Pharmacy,Retail,248600.0
30159,Microroban Afatigomar,June,2018,Pharmacy,Institution,248560.0
2332,Adalatamine,December,2020,Pharmacy,Retail,248522.0
28335,Lovephilus,September,2018,Pharmacy,Institution,248514.0
32504,Pentastrin,October,2018,Hospital,Private,248500.0
35607,Relenstrel Exurabine,December,2018,Pharmacy,Retail,248464.0
4000,Afretosine,April,2019,Pharmacy,Institution,248460.0
8287,Ampysin,June,2020,Pharmacy,Institution,248346.0
45067,Zonixamine Immulinum,April,2020,Pharmacy,Retail,248234.0
40033,Temasone Thiobucil,June,2018,Pharmacy,Institution,248230.0
14058,Claripenem,October,2017,Hospital,Private,248192.0
38170,Spiroderall,May,2019,Hospital,Private,248140.0
7168,Amamadin,May,2018,Hospital,Government,248124.0
12912,Cephozumab Synmethate,November,2020,Pharmacy,Institution,248064.0
9787,Aquamycin Lacoran,July,2018,Hospital,Government,248055.0
28700,Magnemunex,October,2018,Hospital,Government,248040.0
2950,Adriacaine,June,2018,Hospital,Government,248007.0
9995,Araxetine,June,2018,Hospital,Government,247950.0
1626,Aclonuma,June,2018,Pharmacy,Retail,247902.0
26333,Kinovatol,July,2018,Hospital,Government,247900.0
17864,Diprolimus,October,2018,Hospital,Private,247894.0
3427,Afaxacin,April,2018,Hospital,Private,247860.0
174,Abatatriptan,October,2020,Pharmacy,Institution,247828.0
20864,Fentalac,March,2020,Pharmacy,Retail,247818.0
16727,Decidenu Galantrigine,October,2019,Pharmacy,Institution,247800.0
31041,Novakyn Tracprox,August,2020,Hospital,Private,247680.0
39211,Symbitrim,December,2019,Pharmacy,Institution,247632.0
44898,Zonitonin,December,2018,Hospital,Private,247604.0
5565,Alemtuvatol Megalinum,February,2017,Pharmacy,Institution,247566.0
8693,Angioparin Brimosumab,May,2018,Hospital,Private,247566.0
16251,Darlofen,January,2019,Pharmacy,Retail,247533.0
43253,Ultrimax Ultriset,July,2020,Pharmacy,Retail,247480.0
32989,Primapion,July,2017,Hospital,Government,247476.0
29799,Metapatch,March,2019,Hospital,Government,247470.0
15743,Cyclovital,May,2019,Hospital,Government,247420.202429
15996,Dantolac Pazocor,April,2019,Pharmacy,Institution,247384.0
30647,Nevanide Actozide,August,2017,Pharmacy,Retail,247360.0
30006,Methiclotide,May,2020,Hospital,Private,247320.0
20235,Exotropin Empizine,January,2017,Hospital,Private,247275.0
21786,Formolovir Amanferon,June,2018,Hospital,Government,247154.0
38965,Symbiroban,October,2020,Pharmacy,Retail,247050.0
37963,Solasteride,March,2019,Hospital,Government,247000.0
29290,Malaxolol Aeroprosyn,September,2018,Pharmacy,Retail,246984.0
29293,Malaxolol Aeroprosyn,September,2019,Pharmacy,Retail,246984.0
6996,Alpradipine,November,2018,Hospital,Private,246975.0
24240,Insozyme,January,2020,Pharmacy,Retail,246935.0
6574,Allomenda,June,2019,Hospital,Private,246909.0
5658,Alemtuvatol Megalinum,May,2020,Pharmacy,Retail,246884.0
9544,Apronazol,August,2020,Pharmacy,Institution,246856.0
5831,Algluconium Dorzofoxin,March,2020,Pharmacy,Retail,246844.0
9174,Aprerase,December,2019,Pharmacy,Institution,246840.0
2122,Acycpex,August,2019,Hospital,Private,246840.0
29375,Megenorphine,January,2020,Pharmacy,Institution,246828.0
23833,Imiformin Transmunex,February,2018,Hospital,Government,246800.0
25319,Ionclotide,August,2018,Hospital,Government,246721.0
44433,Xenaminphen,May,2020,Hospital,Government,246675.0
17215,Dexmeprazole Transnuvia,July,2018,Pharmacy,Retail,246600.0
8091,Ampinonide,June,2019,Hospital,Government,246512.0
13481,Choriotrisin,November,2020,Pharmacy,Retail,246447.0
42647,Travosoline Capolac,February,2019,Pharmacy,Institution,246440.0
31756,Panpion,September,2017,Pharmacy,Retail,246352.0
29673,Menogine,September,2019,Hospital,Government,246344.0
13002,Ceretosine,February,2019,Pharmacy,Institution,246274.0
36605,Rositroban,July,2018,Hospital,Private,246272.0
40304,Tesnorphine Silotamine,September,2019,Pharmacy,Institution,246268.0
7504,Amcibax Amcikeran,July,2018,Pharmacy,Retail,246268.0
31040,Novakyn Tracprox,August,2020,Hospital,Government,246240.0
32776,Presetron,February,2019,Pharmacy,Institution,246240.0
41541,Tiaracil,July,2020,Hospital,Government,246240.0
34086,Pulmodiol Adalaxime,December,2018,Hospital,Government,246235.0
11428,Benzoprox,April,2018,Hospital,Government,246228.0
36316,Ribabyclor,September,2017,Pharmacy,Retail,246225.0
27583,Lioletine Refliruvax,September,2020,Pharmacy,Institution,246210.0
5552,Alemtuvatol Megalinum,December,2018,Hospital,Private,246202.0
33951,Propratecan,July,2020,Hospital,Government,246202.0
28287,Lovephilus,May,2018,Pharmacy,Institution,246186.0
38100,Spiroderall,January,2017,Pharmacy,Retail,246181.0
12141,Biotasol Siloderm,November,2017,Pharmacy,Retail,246180.0
20139,Exexone,November,2020,Pharmacy,Retail,246170.0
9952,Araxetine,February,2019,Hospital,Private,246150.0
41269,Thionide,April,2018,Pharmacy,Institution,246114.0
21187,Feruprazole,January,2019,Hospital,Government,246100.0
12721,Cephovelam,November,2020,Hospital,Government,246068.0
26386,Kinovatol,May,2019,Pharmacy,Institution,246050.0
21957,Fosinofen,July,2017,Hospital,Government,246015.0
21984,Fosinofen,June,2020,Hospital,Government,246015.0
9389,Apromin,January,2017,Pharmacy,Retail,246000.0
33084,Primapion,October,2020,Pharmacy,Retail,246000.0
33832,Propralamide Dexlanzolam,October,2018,Hospital,Government,245939.0
31935,Paronium Atracustone,October,2018,Pharmacy,Institution,245916.0
34586,Pulmogen Alitora,November,2019,Pharmacy,Retail,245860.0
26095,Kinerinex,December,2017,Pharmacy,Retail,245860.0
21602,Flutacerol,June,2019,Pharmacy,Institution,245850.0
620,Abranatal Lysoprosate,February,2017,Hospital,Government,245841.0
2234,Acycpex,May,2019,Hospital,Private,245820.0
8524,Androporin,November,2020,Hospital,Government,245807.0
45567,Zyvance,May,2019,Hospital,Private,245803.0
24476,Interfedox Pilobamol,March,2020,Pharmacy,Retail,245795.0
27444,Lioletine Refliruvax,February,2017,Pharmacy,Retail,245775.0
12857,Cephozumab Synmethate,June,2018,Pharmacy,Institution,245760.0
41615,Tiaracil,October,2018,Pharmacy,Institution,245754.0
27841,Lovapur,January,2018,Hospital,Private,245746.0
39774,Tacrodomide,December,2017,Pharmacy,Retail,245700.0
22074,Ganineva Agenium,April,2019,Hospital,Government,245700.0
26873,Lactubucil,February,2018,Hospital,Private,245700.0
44108,Xenaderal,April,2017,Pharmacy,Retail,245690.0
37167,Secrelazine Insonamic,January,2020,Pharmacy,Retail,245676.0
24178,Insozyme,August,2017,Hospital,Private,245625.0
18531,Doxivorin,January,2018,Hospital,Private,245616.0
29572,Menogine,July,2017,Pharmacy,Retail,245602.0
30434,Morphizolid Tianalin,September,2020,Hospital,Government,245602.0
17355,Diaxolol,December,2018,Hospital,Government,245565.0
38224,Spiroderall,September,2020,Pharmacy,Retail,245528.0
36479,Robapril,November,2018,Pharmacy,Retail,245526.0
16509,Dasagestin,May,2020,Pharmacy,Institution,245496.0
19077,Effigine Propraprex,December,2020,Pharmacy,Retail,245427.0
11591,Benzoprox,October,2018,Pharmacy,Retail,245376.0
42915,Trazobalamin,May,2019,Hospital,Private,245371.658291
2410,Adalatamine,March,2020,Pharmacy,Institution,245346.0
39425,Symdocet,January,2017,Pharmacy,Institution,245340.0
22189,Ganineva Agenium,March,2020,Hospital,Private,245310.0
37363,Sevoderm,July,2019,Hospital,Government,245310.0
37364,Sevoderm,July,2019,Hospital,Private,245310.0
37380,Sevoderm,June,2019,Hospital,Private,245310.0
42687,Travosoline Capolac,June,2017,Pharmacy,Institution,245220.0
29441,Megenorphine,November,2017,Hospital,Government,245220.0
36034,Requimadin,July,2019,Hospital,Government,245208.0
14383,Clinicilin Pentozone,June,2019,Pharmacy,Retail,245168.0
27336,Lansostral Acgestin,May,2018,Pharmacy,Institution,245157.0
36743,Sanctumine,December,2017,Pharmacy,Institution,245105.0
3069,Adriafinil Ehtymara,August,2020,Hospital,Government,245030.0
29871,Methiclotide,April,2017,Pharmacy,Retail,245030.0
25217,Invisteride Diclomycin,June,2020,Hospital,Private,244984.0
40391,Testant,July,2017,Hospital,Private,244976.0
39214,Symbitrim,December,2020,Hospital,Private,244952.0
14330,Clinicilin Pentozone,February,2018,Hospital,Private,244944.0
4856,Alarudin Azarolac,June,2018,Hospital,Private,244944.0
20347,Exotropin Empizine,September,2017,Pharmacy,Retail,244920.0
22066,Ganineva Agenium,April,2017,Hospital,Government,244920.0
22230,Ganineva Agenium,October,2018,Pharmacy,Institution,244920.0
17498,Diaxolol,September,2018,Hospital,Private,244800.0
14610,Clinolan Pitoletra,November,2017,Hospital,Government,244790.0
12363,Brimorix Amonine,September,2017,Pharmacy,Retail,244770.0
34652,Quiniprosyn,December,2017,Hospital,Government,244750.0
32899,Presetron,September,2018,Hospital,Private,244728.0
40300,Tesnorphine Silotamine,September,2018,Pharmacy,Institution,244673.0
40210,Tesnorphine Silotamine,July,2020,Hospital,Government,244673.0
29051,Malavirine Alimdine,May,2018,Pharmacy,Retail,244673.0
6685,Alpharolac,August,2019,Pharmacy,Institution,244647.0
35815,Relenvice,February,2019,Pharmacy,Institution,244647.0
28723,Magnemunex,September,2019,Pharmacy,Retail,244595.0
1547,Aclonuma,August,2019,Hospital,Government,244584.0
2376,Adalatamine,July,2020,Hospital,Government,244552.0
12398,Ceftatana Serolamide,August,2018,Pharmacy,Institution,244545.0
41375,Thionide,March,2017,Pharmacy,Institution,244532.0
9343,Apromin,August,2018,Hospital,Private,244500.0
29130,Malaxolol Aeroprosyn,August,2018,Pharmacy,Institution,244474.0
42304,Tracdomide,July,2020,Pharmacy,Retail,244408.0
29844,Metapatch,October,2018,Pharmacy,Institution,244404.0
12226,Brimorix Amonine,December,2019,Pharmacy,Institution,244372.0
21567,Flutacerol,January,2018,Pharmacy,Retail,244360.0
10062,Araxetine,October,2019,Hospital,Government,244350.0
10720,Aspinavir Silovance,February,2020,Hospital,Government,244305.0
43042,Trazozaprine,January,2019,Hospital,Private,244260.0
12881,Cephozumab Synmethate,March,2020,Pharmacy,Retail,244224.0
13084,Ceretosine,May,2020,Hospital,Private,244216.0
8652,Angioparin Brimosumab,July,2020,Hospital,Government,244156.0
20231,Exotropin Empizine,February,2020,Hospital,Private,244135.0
2567,Adideine,July,2020,Hospital,Government,244080.0
7600,Amcibax Amcikeran,September,2018,Pharmacy,Retail,244035.0
40357,Testant,December,2020,Pharmacy,Retail,244000.0
28973,Malavirine Alimdine,February,2019,Hospital,Private,243906.0
10052,Araxetine,November,2020,Pharmacy,Institution,243900.0
42857,Trazobalamin,January,2020,Pharmacy,Retail,243840.0
8554,Androporin,September,2019,Pharmacy,Institution,243830.0
38305,Stelazolid,July,2017,Hospital,Private,243820.0
15873,Dantocept Ferurenone,January,2020,Hospital,Government,243758.0
7535,Amcibax Amcikeran,March,2018,Pharmacy,Institution,243716.0
35344,Raparidol,November,2020,Hospital,Private,243661.0
24184,Insozyme,August,2018,Pharmacy,Retail,243660.0
39724,Syntheruvax Proracin,September,2017,Hospital,Government,243638.0
22749,Hemavate Spirolinum,March,2017,Hospital,Government,243600.0
43807,Victomax,July,2017,Pharmacy,Institution,243593.0
27075,Lansopril Acribax,January,2017,Hospital,Private,243540.0
33097,Primapion,September,2020,Hospital,Government,243540.0
1822,Acubulin,June,2020,Hospital,Government,243530.0
22385,Halcifergen Nevazone,May,2018,Hospital,Government,243530.0
20863,Fentalac,March,2020,Pharmacy,Institution,243492.0
26287,Kinovatol,December,2018,Hospital,Private,243460.0
34761,Quiniprosyn,May,2020,Pharmacy,Retail,243415.0
4671,Aggretisol,June,2020,Hospital,Government,243398.0
29595,Menogine,June,2019,Pharmacy,Institution,243376.0
19448,Eproline,December,2018,Pharmacy,Retail,243360.0
22082,Ganineva Agenium,August,2017,Hospital,Private,243360.0
1399,Aciprex,January,2018,Hospital,Government,243338.0
43356,Veratorol Ciclovatol,April,2019,Hospital,Private,243320.0
26062,Kinerinex,April,2017,Hospital,Private,243272.0
10462,Arivac,September,2019,Pharmacy,Institution,243243.0
43983,Victomine,January,2017,Pharmacy,Retail,243225.0
29436,Megenorphine,May,2019,Pharmacy,Retail,243210.0
31269,Oxymotroban Fexoformin,January,2018,Hospital,Private,243198.0
12124,Biotasol Siloderm,May,2017,Pharmacy,Institution,243196.0
4661,Aggretisol,June,2017,Pharmacy,Institution,243136.0
33042,Primapion,May,2018,Hospital,Private,243048.0
7251,Amavirase,August,2018,Pharmacy,Retail,243013.0
14900,Comzyme,February,2018,Hospital,Government,242934.0
37183,Secrelazine Insonamic,July,2020,Pharmacy,Retail,242900.0
41891,Topipizole,February,2020,Pharmacy,Institution,242880.0
20711,Factolamide,October,2018,Hospital,Private,242880.0
43009,Trazozaprine,December,2018,Pharmacy,Retail,242844.0
43093,Trazozaprine,March,2020,Hospital,Government,242844.0
16533,Dasagestin,October,2018,Pharmacy,Institution,242794.0
33949,Propratecan,July,2019,Pharmacy,Institution,242792.0
17510,Diazemid Felcept,April,2017,Hospital,Private,242748.0
17668,Diazemid Felcept,October,2017,Hospital,Government,242748.0
43288,Ultrimax Ultriset,May,2018,Hospital,Private,242638.0
9325,Apromin,April,2017,Pharmacy,Retail,242625.0
28503,Lovepion,November,2020,Pharmacy,Retail,242624.0
2972,Adriacaine,March,2019,Pharmacy,Institution,242592.0
22159,Ganineva Agenium,July,2020,Pharmacy,Retail,242580.0
32937,Primapion,August,2019,Pharmacy,Retail,242556.0
20574,Factolamide,August,2019,Hospital,Government,242535.0
17367,Diaxolol,February,2017,Hospital,Private,242505.0
36140,Ribabyclor,April,2017,Pharmacy,Institution,242473.0
36155,Ribabyclor,August,2017,Hospital,Private,242473.0
7041,Amamadin,April,2017,Pharmacy,Retail,242420.0
37620,Sevotrana Tiafoxin,November,2020,Hospital,Government,242420.0
9008,Antilamin Clinbital,January,2018,Hospital,Government,242360.0
20795,Fentalac,February,2019,Hospital,Private,242256.0
2113,Acycpex,August,2017,Hospital,Government,242250.0
11908,Bexridol,June,2019,Hospital,Government,242240.0
37165,Secrelazine Insonamic,January,2020,Hospital,Private,242206.0
23705,Imiderm Vibranovate,March,2018,Hospital,Government,242190.0
32779,Presetron,February,2020,Hospital,Private,242136.0
43024,Trazozaprine,February,2018,Pharmacy,Institution,242136.0
6260,Alimmethate Insudase,October,2020,Pharmacy,Retail,242112.0
10704,Aspinavir Silovance,December,2020,Hospital,Government,242109.0
6868,Alpradipine,August,2017,Pharmacy,Retail,242080.0
32946,Primapion,December,2018,Hospital,Private,242064.0
38522,Sucprine Specbalamin,June,2020,Pharmacy,Retail,242060.0
30509,Neuropogen Empibax,January,2019,Hospital,Government,242000.0
14057,Claripenem,October,2017,Hospital,Government,241920.0
30383,Morphizolid Tianalin,May,2019,Hospital,Private,241892.0
27886,Lovapur,March,2017,Pharmacy,Institution,241889.0
13070,Ceretosine,March,2020,Pharmacy,Retail,241815.0
19571,Eproline,October,2017,Pharmacy,Retail,241800.0
19581,Eproline,October,2020,Hospital,Private,241800.0
38750,Sumanazole,November,2017,Pharmacy,Retail,241753.0
35379,Rebedase Aplencor,April,2017,Hospital,Government,241740.0
5924,Alglutriptan,August,2020,Hospital,Private,241703.0
9058,Antilamin Clinbital,March,2018,Pharmacy,Institution,241696.0
30988,Nisorase,October,2019,Hospital,Government,241695.0
7739,Amlominphen Dexanovate,May,2017,Pharmacy,Retail,241689.0
38185,Spiroderall,November,2019,Hospital,Government,241610.0
19888,Ergomethate,June,2017,Pharmacy,Retail,241600.0
12212,Brimorix Amonine,August,2020,Hospital,Government,241586.0
27035,Lansopril Acribax,August,2019,Hospital,Government,241572.0
5286,Albuterenone,November,2019,Hospital,Government,241572.0
17057,Dexmebital Acanplan,March,2018,Hospital,Private,241570.0
41752,Topifribrate,March,2017,Hospital,Private,241569.0
10767,Aspinavir Silovance,June,2019,Pharmacy,Retail,241560.0
42962,Trazobalamin,September,2019,Hospital,Government,241554.0
42865,Trazobalamin,July,2018,Pharmacy,Retail,241554.0
4852,Alarudin Azarolac,June,2017,Hospital,Private,241542.0
14132,Clindaracil,December,2020,Pharmacy,Institution,241508.0
37490,Sevotrana Tiafoxin,August,2019,Pharmacy,Institution,241500.0
37607,Sevotrana Tiafoxin,May,2020,Pharmacy,Retail,241500.0
34350,Pulmofine,June,2020,Pharmacy,Institution,241488.0
42144,Topitaine,March,2020,Hospital,Private,241439.0
23463,Ibrulinum,February,2020,Pharmacy,Institution,241300.0
