,Product Name,Year,Month,Sales
7912,Oxymotroban Fexoformin,2020,January,1083170.0
6021,Imiformin Transmunex,2018,November,1082800.0
635,Adideine,2017,September,1082766.0
9079,Requimadin,2017,March,1082424.0
8504,Propralamide Dexlanzolam,2017,May,1081897.0
5999,Imiderm Vibranovate,2020,September,1081470.0
5727,Hemavate Spirolinum,2018,February,1081290.0
7184,Lovepion,2019,May,1080928.0
8653,Pulmofine,2018,August,1080848.0
6633,Kinovatol,2017,November,1080770.0
1858,Amavirase,2019,October,1080653.0
7597,Microroban Afatigomar,2018,August,1080280.0
10728,Travoloride,2019,April,1080160.0
10186,Testant,2017,October,1079944.0
6066,Immurenol Temarate,2018,June,1079892.0
7402,Megenorphine,2017,October,1079370.0
4989,Epzipitant,2020,November,1078308.0
7341,Malavirine Alimdine,2020,November,1077635.0
3834,Cordamectin Actolamin,2020,June,1077145.0
5125,Exotropin Empizine,2020,August,1077020.0
4965,Epzipitant,2018,November,1076752.0
8723,Pulmogen Alitora,2019,September,1076608.0
5297,Fentatrol Rapatelase,2018,July,1076300.0
8181,Pentastrin,2018,November,1076005.0
1911,Amcibax Amcikeran,2020,February,1075987.0
2613,Arivac,2018,November,1075032.0
7124,Lovephilus,2018,May,1074954.0
1776,Amamadin,2017,April,1074491.0
320,Acelimus,2019,May,1073494.0
4766,Effidomide Evofribrate,2018,December,1072836.0
5623,Halcifergen Nevazone,2017,March,1072810.0
5682,Halciramine,2018,June,1072807.0
3337,Choriogestrel,2019,August,1072577.0
10233,Tetalamide,2017,November,1072420.0
7676,Morphizolid Tianalin,2020,May,1072190.0
8113,Penitrana,2017,August,1071136.0
8043,Paronium Atracustone,2019,February,1070604.0
8010,Panpion,2020,June,1069832.0
7376,Malaxolol Aeroprosyn,2019,May,1069762.0
4120,Darlofen,2020,January,1069758.0
2493,Aquamycin Lacoran,2020,November,1069500.0
10852,Trazozaprine,2017,January,1069080.0
8633,Pulmodiol Adalaxime,2020,July,1069035.0
9047,Relenvice,2018,September,1069011.0
3950,Cyclovital,2018,December,1068983.0
3183,Cephovelam,2018,February,1068824.0
5025,Ergomethate,2019,November,1068476.0
10733,Travoloride,2019,July,1068385.0
4052,Dantolac Pazocor,2018,May,1068144.0
3698,Cogxone Levanide,2017,December,1068102.0
2545,Argalazine Abostryl,2017,August,1066972.0
10499,Tiaracil,2019,September,1066932.0
5729,Hemavate Spirolinum,2018,July,1066380.0
114,Abobozolid,2018,June,1066200.0
8651,Pulmofine,2017,September,1065712.0
2187,Angioparin Brimosumab,2019,February,1064602.0
2479,Aquamycin Lacoran,2019,March,1064325.0
3354,Choriogestrel,2020,June,1064249.0
3972,Cyclovital,2020,April,1064244.0
11000,Vibratosine Alemtrace,2017,May,1064164.0
3527,Claripenem,2018,September,1064000.0
1244,Alarudin Azarolac,2020,May,1062558.0
9722,Sucprine Specbalamin,2019,December,1062516.0
8595,Pulmodiol Adalaxime,2017,February,1062380.0
7319,Malavirine Alimdine,2018,September,1062295.0
2562,Argalazine Abostryl,2018,June,1061948.0
4143,Dasagestin,2018,February,1061886.0
5461,Flutacerol,2020,August,1061625.0
5057,Exexone,2018,July,1060921.0
7001,Liomulin,2020,July,1060850.0
327,Acelimus,2020,February,1060812.0
2202,Angioparin Brimosumab,2020,June,1060510.0
7220,Magnemunex,2018,May,1060371.0
7476,Menogine,2020,April,1060318.0
2709,Aspinavir Silovance,2018,November,1060119.0
2737,Atomorelin,2017,August,1060050.0
2771,Atomorelin,2019,September,1060050.0
1424,Alemtuvatol Megalinum,2019,May,1059828.0
2383,Apromin,2019,March,1059750.0
10581,Topipizole,2018,November,1059472.0
3155,Ceftatana Serolamide,2019,September,1059100.0
10549,Topifribrate,2020,August,1058805.0
9595,Solasteride,2020,March,1058720.0
3225,Cephozumab Synmethate,2017,November,1058304.0
4417,Diazemid Felcept,2017,August,1058038.0
5247,Fentalac,2018,February,1057398.0
8709,Pulmogen Alitora,2018,November,1056551.0
6448,Ketamara Evogel,2018,January,1056000.0
8344,Primapion,2020,January,1055832.0
4567,Docstryl Rivacin,2017,March,1055682.0
578,Adalatamine,2017,December,1055226.0
3807,Cordamectin Actolamin,2018,February,1054758.0
4905,Eproline,2017,November,1054560.0
826,Adtiza Gammaluble,2017,October,1054516.0
9253,Rositroban,2020,August,1054352.0
10578,Topipizole,2018,June,1054320.0
6099,Insozyme,2017,February,1053895.0
670,Adideine,2020,October,1053612.0
2569,Argalazine Abostryl,2019,August,1053156.0
5189,Factolamide,2017,July,1052940.0
517,Acycnafine Microvate,2020,August,1052800.0
6717,Kiovax Tercorolac,2020,November,1052676.0
5791,Hepavice,2019,March,1052380.0
10064,Tacrodomide,2019,May,1051680.0
1477,Algluconium Dorzofoxin,2020,August,1051531.0
5653,Halcifergen Nevazone,2020,August,1051510.0
8649,Pulmofine,2017,November,1051264.0
3816,Cordamectin Actolamin,2019,April,1051088.0
10698,Tracdomide,2020,June,1051064.0
3313,Choriogestrel,2017,August,1051063.0
6884,Lansostral Acgestin,2018,May,1050225.0
8705,Pulmogen Alitora,2018,July,1050081.0
9907,Symbitrim,2018,March,1050024.0
10336,Thalilamide,2018,January,1049805.0
2345,Aprerase,2020,July,1049796.0
9763,Sumanazole,2018,March,1049536.0
2185,Angioparin Brimosumab,2019,August,1048916.0
6359,Invisteride Diclomycin,2018,September,1048640.0
152,Abranatal Lysoprosate,2017,May,1048059.0
4047,Dantolac Pazocor,2018,February,1047914.0
10046,Tacrodomide,2018,December,1047900.0
2454,Aquamycin Lacoran,2017,June,1047765.0
9616,Spiroderall,2018,January,1047412.0
6367,Invisteride Diclomycin,2019,March,1046832.0
23,Abatatriptan,2018,September,1046220.0
0,Abatatriptan,2017,April,1046220.0
11504,Zyvance,2019,May,1046197.0
9853,Symbisine Prednimadin,2018,August,1045760.0
5580,Ganineva Agenium,2018,April,1045590.0
9978,Symdocet,2020,June,1045280.0
3817,Cordamectin Actolamin,2019,August,1045216.0
6041,Imiformin Transmunex,2020,July,1045200.0
2423,Apronazol,2018,September,1045008.0
2574,Argalazine Abostryl,2019,June,1044992.0
529,Acycpex,2017,August,1044480.0
6945,Lioletine Refliruvax,2019,November,1044435.0
4845,Effigine Propraprex,2020,November,1044290.0
8304,Primapion,2017,April,1043532.0
9002,Relenstrel Exurabine,2019,December,1043464.0
1846,Amavirase,2018,October,1043154.0
10118,Temasone Thiobucil,2020,December,1043048.0
2815,Atrabicin Alkerotec,2019,March,1042812.0
7795,Nisorase,2018,March,1042629.0
3406,Choriotrisin,2020,October,1042524.0
10261,Tetalamide,2020,August,1042320.0
6577,Kinerinex,2017,August,1042317.0
1154,Aggretisol,2017,December,1041974.0
158,Abranatal Lysoprosate,2018,December,1041249.0
6575,Kinenadryl,2020,September,1040842.0
4294,Dexmebital Acanplan,2018,October,1040740.0
5235,Fentalac,2017,February,1040712.0
1262,Albudazole Erobloc,2018,December,1040424.0
9022,Relenstrel Exurabine,2020,October,1040072.0
6626,Kinovatol,2017,December,1039700.0
10940,Ultrimax Ultriset,2020,May,1039685.0
9461,Sevotrana Tiafoxin,2017,July,1039600.0
8599,Pulmodiol Adalaxime,2017,March,1039390.0
8580,Propratecan,2020,April,1039368.0
6489,Ketastadil,2017,November,1039206.0
11083,Victomax,2020,March,1039164.0
6760,Lacoplex Hyaluvance,2020,January,1039074.0
2211,Antaparin Varizyme,2017,February,1038312.0
10065,Tacrodomide,2019,November,1037820.0
6536,Kinenadryl,2017,May,1037714.0
11025,Vibratosine Alemtrace,2019,November,1037533.0
10629,Topitaine,2018,November,1036585.0
5881,Ibruferon,2019,August,1035906.0
8262,Presetron,2017,June,1035504.0
11333,Zonitonin,2017,July,1035482.0
5867,Ibruferon,2017,September,1035332.0
3113,Brimorix Amonine,2020,July,1035198.0
7495,Metapatch,2017,March,1034556.0
11498,Zyvance,2019,December,1034246.0
10663,Tracdomide,2017,March,1034076.0
2767,Atomorelin,2019,March,1033965.0
8519,Propralamide Dexlanzolam,2018,September,1033022.0
2166,Angioparin Brimosumab,2017,June,1032548.0
10815,Trazobalamin,2018,February,1032510.0
4136,Dasagestin,2017,May,1031778.0
228,Abtasol,2020,April,1031472.0
6982,Liomulin,2018,October,1031450.0
10649,Topitaine,2020,July,1031415.0
8691,Pulmogen Alitora,2017,February,1031318.0
3937,Cyclovital,2017,August,1031071.0
9031,Relenvice,2017,March,1030914.0
2359,Apromin,2017,March,1030875.0
1053,Afretosine,2020,November,1030604.0
6992,Liomulin,2019,May,1030470.0
1810,Amamadin,2019,October,1030285.0
8168,Pentastrin,2017,May,1029784.0
11010,Vibratosine Alemtrace,2018,June,1029732.0
9439,Sevoderm,2019,March,1029639.0
4326,Dexmeprazole Transnuvia,2017,June,1029240.0
3811,Cordamectin Actolamin,2018,March,1029068.0
3825,Cordamectin Actolamin,2019,November,1028701.0
1864,Amavirase,2020,January,1028544.0
2469,Aquamycin Lacoran,2018,November,1028445.0
2736,Atomorelin,2017,April,1028415.0
4398,Diaxolol,2019,June,1028160.0
1210,Alarudin Azarolac,2017,October,1027971.0
6501,Ketastadil,2018,November,1027761.0
20,Abatatriptan,2018,May,1027670.0
8621,Pulmodiol Adalaxime,2019,July,1027290.0
6643,Kinovatol,2018,March,1026750.0
2119,Androporin,2017,March,1026722.0
2344,Aprerase,2020,January,1025112.0
2498,Araxetine,2017,December,1024200.0
7780,Nisorase,2017,January,1024158.0
8127,Penitrana,2018,February,1024059.0
4170,Dasagestin,2020,June,1024058.0
6888,Lansostral Acgestin,2019,April,1023891.0
296,Acelimus,2017,May,1023512.0
1458,Algluconium Dorzofoxin,2018,June,1023425.0
6733,Lacoplex Hyaluvance,2018,August,1023376.0
2499,Araxetine,2017,February,1023300.0
1843,Amavirase,2018,March,1023187.0
1421,Alemtuvatol Megalinum,2019,July,1023000.0
10331,Thalilamide,2017,September,1022745.0
4710,Duraprazole Agalsixolol,2017,June,1022625.0
10369,Theopril,2017,August,1022208.0
3381,Choriotrisin,2018,November,1021839.0
5045,Exexone,2017,July,1021725.0
8677,Pulmofine,2020,August,1021680.0
6595,Kinerinex,2018,March,1021613.0
2142,Androporin,2019,June,1021450.0
5829,Hydroxyprosyn,2018,November,1021240.0
6381,Invisteride Diclomycin,2020,November,1021068.0
9327,Saprodeine Zanprosyn,2018,February,1021035.0
10033,Tacrodomide,2017,August,1021020.0
7022,Lovapur,2018,December,1020452.0
3305,Ceretosine,2020,July,1020425.0
15,Abatatriptan,2018,February,1020250.0
8952,Rebedase Aplencor,2019,April,1020240.0
3290,Ceretosine,2019,December,1020082.0
2443,Apronazol,2020,March,1019992.0
5604,Ganineva Agenium,2020,April,1019850.0
3153,Ceftatana Serolamide,2019,November,1019830.0
4403,Diaxolol,2019,September,1019745.0
8323,Primapion,2018,March,1019424.0
480,Acycnafine Microvate,2017,April,1018584.0
5092,Exotropin Empizine,2017,January,1017360.0
6677,Kiovax Tercorolac,2017,July,1017298.0
2191,Angioparin Brimosumab,2019,March,1016862.0
4024,Dantocept Ferurenone,2020,January,1016784.0
7350,Malaxolol Aeroprosyn,2017,June,1016048.0
11109,Victomine,2018,November,1015905.0
10067,Tacrodomide,2019,September,1015560.0
300,Acelimus,2018,April,1014560.0
7214,Magnemunex,2018,December,1014208.0
3716,Cogxone Levanide,2018,May,1013908.0
5960,Imiderm Vibranovate,2017,May,1013610.0
6917,Lioletine Refliruvax,2017,July,1013550.0
6870,Lansostral Acgestin,2017,June,1013232.0
2148,Androporin,2020,April,1012883.0
5,Abatatriptan,2017,July,1012830.0
2682,Asparathasone Unipan,2020,June,1012554.0
2796,Atrabicin Alkerotec,2018,April,1012434.0
6459,Ketamara Evogel,2019,February,1012352.0
10283,Tetratanyl,2017,September,1012291.0
5731,Hemavate Spirolinum,2018,March,1012200.0
5540,Fosinofen,2018,May,1012165.0
7157,Lovepion,2017,July,1011840.0
1670,Allomenda,2020,December,1010525.0
6687,Kiovax Tercorolac,2018,February,1010078.0
4597,Docstryl Rivacin,2020,August,1009920.0
10382,Theopril,2018,December,1009920.0
10816,Trazobalamin,2018,January,1009650.0
8931,Rebedase Aplencor,2017,February,1009620.0
8783,Quiniprosyn,2020,September,1009260.0
4831,Effigine Propraprex,2019,March,1009229.0
9169,Robapril,2017,August,1008831.0
2685,Asparathasone Unipan,2020,November,1008576.0
7472,Menogine,2019,May,1008378.0
2827,Atrabicin Alkerotec,2020,March,1008201.0
2711,Aspinavir Silovance,2018,September,1007964.0
8973,Rebedase Aplencor,2020,November,1007820.0
5945,Ibrulinum,2020,July,1007760.0
9146,Ribabyclor,2019,December,1007412.0
6534,Kinenadryl,2017,June,1007216.0
4213,Decidenu Galantrigine,2020,August,1007130.0
1868,Amavirase,2020,May,1007116.0
6624,Kinovatol,2017,April,1006030.0
8342,Primapion,2020,December,1005156.0
9475,Sevotrana Tiafoxin,2018,March,1005100.0
1769,Alpradipine,2020,July,1004810.0
5202,Factolamide,2018,June,1004640.0
461,Acubulin,2019,July,1004500.0
6685,Kiovax Tercorolac,2018,August,1004302.0
4481,Diprolimus,2018,July,1004256.0
551,Acycpex,2018,September,1004190.0
3389,Choriotrisin,2019,July,1004109.0
10864,Trazozaprine,2018,January,1003944.0
9175,Robapril,2017,March,1003848.0
8325,Primapion,2018,November,1003680.0
11487,Zyvance,2018,February,1003561.0
6101,Insozyme,2017,July,1003460.0
3193,Cephovelam,2019,August,1003242.0
4062,Dantolac Pazocor,2019,June,1002252.0
10380,Theopril,2018,April,1002240.0
9231,Rositroban,2018,February,1001923.0
11143,Xenaderal,2017,March,1001731.0
485,Acycnafine Microvate,2017,July,1001476.0
7813,Nisorase,2020,August,1001364.0
4980,Epzipitant,2020,April,1000508.0
4951,Epzipitant,2017,March,1000508.0
7143,Lovephilus,2020,February,1000458.0
1699,Alpharolac,2018,March,1000441.0
2112,Androporin,2017,April,999703.0
2420,Apronazol,2018,May,999696.0
8130,Penitrana,2018,June,999357.0
5590,Ganineva Agenium,2018,October,999180.0
7385,Malaxolol Aeroprosyn,2020,July,998980.0
4960,Epzipitant,2018,January,998952.0
6137,Insozyme,2020,July,998875.0
601,Adalatamine,2019,August,998852.0
8326,Primapion,2018,October,998760.0
1895,Amcibax Amcikeran,2018,September,998151.0
10396,Theopril,2019,January,997632.0
359,Aciprex,2018,September,997349.0
5962,Imiderm Vibranovate,2017,October,996840.0
9225,Rositroban,2017,November,996632.0
2846,Belavarix Benzabicin,2018,December,996517.0
11358,Zonitonin,2019,June,996114.0
8026,Paronium Atracustone,2017,October,996084.0
6792,Lactubucil,2019,April,995670.0
6811,Lactubucil,2020,March,995085.0
190,Abranatal Lysoprosate,2020,October,994260.0
4600,Docstryl Rivacin,2020,January,994140.0
5434,Flutacerol,2017,October,993830.0
2252,Antaparin Varizyme,2020,May,993681.0
10554,Topifribrate,2020,June,993600.0
3191,Cephovelam,2018,September,993486.0
6229,Interfeferon Aspipex,2020,August,992992.0
4368,Diaxolol,2017,April,992970.0
4841,Effigine Propraprex,2020,July,992641.0
1955,Amlominphen Dexanovate,2019,September,992579.0
9411,Sevoderm,2017,February,992511.0
2118,Androporin,2017,June,992454.0
9030,Relenvice,2017,June,992358.0
8680,Pulmofine,2020,January,992096.0
782,Adriafinil Ehtymara,2018,December,991355.0
6220,Interfeferon Aspipex,2019,January,991328.0
6224,Interfeferon Aspipex,2019,May,991328.0
4107,Darlofen,2019,February,991286.0
1396,Alemtuvatol Megalinum,2017,January,989582.0
6654,Kinovatol,2019,June,989380.0
11116,Victomine,2019,January,989115.0
2449,Aquamycin Lacoran,2017,August,988770.0
10207,Testant,2019,March,987712.0
11301,Zithrotrol,2018,November,987359.0
7748,Nevanide Actozide,2018,May,987121.0
2397,Apromin,2020,November,987000.0
593,Adalatamine,2018,July,986942.0
854,Adtiza Gammaluble,2020,December,986716.0
3517,Claripenem,2018,August,986048.0
9185,Robapril,2018,July,985728.0
7949,Palodizem,2019,July,985704.0
2764,Atomorelin,2019,January,985680.0
6460,Ketamara Evogel,2019,January,985600.0
2132,Androporin,2018,May,985205.0
3714,Cogxone Levanide,2018,June,985096.0
7189,Lovepion,2020,August,984640.0
3261,Cephozumab Synmethate,2020,November,984576.0
8659,Pulmofine,2018,March,984528.0
2816,Atrabicin Alkerotec,2019,May,984297.0
3089,Brimorix Amonine,2018,July,984254.0
2491,Aquamycin Lacoran,2020,March,983940.0
5318,Fentatrol Rapatelase,2020,December,983784.0
589,Adalatamine,2018,August,983766.0
6584,Kinerinex,2017,May,983440.0
12,Abatatriptan,2018,April,983150.0
6592,Kinerinex,2018,January,982793.0
4699,Doxivorin,2020,March,982464.0
7672,Morphizolid Tianalin,2020,January,982408.0
1686,Alpharolac,2017,June,982319.0
3365,Choriotrisin,2017,July,982242.0
4901,Eproline,2017,July,982020.0
9414,Sevoderm,2017,June,981903.0
1268,Albudazole Erobloc,2018,May,981872.0
6404,Ionclotide,2018,May,981836.0
10821,Trazobalamin,2018,November,981456.0
1255,Albudazole Erobloc,2017,March,981309.0
2754,Atomorelin,2018,June,981240.0
7332,Malavirine Alimdine,2020,April,980993.0
7352,Malaxolol Aeroprosyn,2017,May,980908.0
6946,Lioletine Refliruvax,2019,October,980490.0
3104,Brimorix Amonine,2019,May,980274.0
3799,Cordamectin Actolamin,2017,March,979890.0
1209,Alarudin Azarolac,2017,November,979776.0
2508,Araxetine,2018,April,979650.0
6594,Kinerinex,2018,June,979558.0
6596,Kinerinex,2018,May,979558.0
9094,Requimadin,2018,October,979200.0
3321,Choriogestrel,2017,November,978887.0
1155,Aggretisol,2017,February,978832.0
2920,Benzoprox,2020,January,978664.0
175,Abranatal Lysoprosate,2019,March,978597.0
1713,Alpharolac,2019,November,978588.0
2589,Argalazine Abostryl,2020,November,978424.0
3514,Claripenem,2017,October,977984.0
7673,Morphizolid Tianalin,2020,July,977956.0
7326,Malavirine Alimdine,2019,June,977925.0
7979,Panpion,2017,September,977796.0
7237,Magnemunex,2020,August,977691.0
6605,Kinerinex,2019,July,977617.0
7168,Lovepion,2018,January,977568.0
7984,Panpion,2018,January,977104.0
10082,Temasone Thiobucil,2017,December,977014.0
9645,Spiroderall,2020,November,976235.0
7298,Malavirine Alimdine,2017,December,975624.0
7578,Methiclotide,2020,June,975540.0
7387,Malaxolol Aeroprosyn,2020,March,974382.0
2325,Aprerase,2018,November,974292.0
6797,Lactubucil,2019,July,974025.0
1676,Allomenda,2020,May,973513.0
1548,Alimmethate Insudase,2018,April,973440.0
6116,Insozyme,2018,May,973330.0
491,Acycnafine Microvate,2017,September,973182.0
8324,Primapion,2018,May,973176.0
6966,Liomulin,2017,June,973140.0
6923,Lioletine Refliruvax,2017,September,973095.0
2087,Ampysin,2018,September,972972.0
6377,Invisteride Diclomycin,2020,July,972704.0
2036,Ampinonide,2018,May,972408.0
4152,Dasagestin,2019,April,972334.0
957,Afinitasol,2020,November,972114.0
4344,Dexmeprazole Transnuvia,2019,April,972000.0
4550,Diprotaine,2020,December,971490.0
8511,Propralamide Dexlanzolam,2018,February,971244.0
3164,Ceftatana Serolamide,2020,May,971040.0
5401,Finanel,2019,August,970260.0
7931,Palodizem,2017,September,970227.0
10535,Topifribrate,2018,September,970002.0
10341,Thalilamide,2018,November,969855.0
3366,Choriotrisin,2017,June,969831.0
9471,Sevotrana Tiafoxin,2018,February,969680.0
3830,Cordamectin Actolamin,2020,December,969614.0
606,Adalatamine,2019,June,969474.0
10057,Tacrodomide,2019,August,969360.0
7585,Microroban Afatigomar,2017,August,968906.0
4150,Dasagestin,2018,October,968860.0
8291,Presetron,2019,September,968328.0
565,Acycpex,2020,August,967980.0
10849,Trazozaprine,2017,August,967836.0
11360,Zonitonin,2019,May,967624.0
3100,Brimorix Amonine,2019,January,967538.0
7997,Panpion,2019,July,967416.0
2050,Ampinonide,2019,October,966952.0
10040,Tacrodomide,2017,May,966840.0
7817,Nisorase,2020,July,966780.0
1259,Albudazole Erobloc,2017,September,966671.0
533,Acycpex,2017,July,965940.0
2577,Argalazine Abostryl,2019,November,965864.0
8579,Propratecan,2019,September,965712.0
7175,Lovepion,2018,September,965600.0
6218,Interfeferon Aspipex,2019,December,965536.0
5233,Fentalac,2017,August,965316.0
9137,Ribabyclor,2018,July,965202.0
6332,Interzide,2020,May,965160.0
5234,Fentalac,2017,December,964698.0
4202,Decidenu Galantrigine,2019,December,964650.0
9647,Spiroderall,2020,September,964481.0
8183,Pentastrin,2018,September,963186.0
9424,Sevoderm,2018,January,962676.0
6741,Lacoplex Hyaluvance,2018,November,962588.0
5103,Exotropin Empizine,2018,February,962410.0
1452,Algluconium Dorzofoxin,2018,April,962325.0
10878,Trazozaprine,2019,June,962172.0
6483,Ketastadil,2017,February,962143.0
6669,Kinovatol,2020,November,962000.0
4290,Dexmebital Acanplan,2018,June,961520.0
7938,Palodizem,2018,June,961383.0
10134,Tesnorphine Silotamine,2017,June,961147.0
1450,Algluconium Dorzofoxin,2017,October,961103.0
10397,Theopril,2019,July,960768.0
3526,Claripenem,2018,October,960512.0
9020,Relenstrel Exurabine,2020,May,960360.0
7136,Lovephilus,2019,May,960300.0
2039,Ampinonide,2018,September,960256.0
2700,Aspinavir Silovance,2018,April,960201.0
3557,Clindaracil,2017,July,959977.0
2965,Betanem,2020,August,959881.0
734,Adriacaine,2018,December,959538.0
5503,Formolovir Amanferon,2019,March,959202.0
3160,Ceftatana Serolamide,2020,January,959140.0
8362,Primatate Univatol,2017,October,959072.0
2297,Antilamin Clinbital,2020,July,958816.0
9080,Requimadin,2017,May,958800.0
824,Adtiza Gammaluble,2017,May,958692.0
9078,Requimadin,2017,June,958392.0
182,Abranatal Lysoprosate,2020,December,958167.0
4720,Duraprazole Agalsixolol,2018,January,958125.0
8308,Primapion,2017,January,957924.0
11507,Zyvance,2019,September,957372.0
11009,Vibratosine Alemtrace,2018,July,957102.0
1290,Albudazole Erobloc,2020,June,957100.0
3524,Claripenem,2018,May,956928.0
7508,Metapatch,2018,May,956154.0
6427,Ionclotide,2020,March,955965.0
2632,Arivac,2020,January,955962.0
4739,Duraprazole Agalsixolol,2019,September,955875.0
9193,Robapril,2019,August,955830.0
7411,Megenorphine,2018,March,955554.0
3505,Claripenem,2017,August,955136.0
8016,Paronium Atracustone,2017,April,954684.0
1744,Alpradipine,2018,January,954525.0
11513,Zyvance,2020,July,954465.0
2488,Aquamycin Lacoran,2020,January,954270.0
6808,Lactubucil,2020,January,954135.0
7293,Magneprex,2020,November,953513.0
2209,Antaparin Varizyme,2017,August,953154.0
2631,Arivac,2020,February,953127.0
3815,Cordamectin Actolamin,2018,September,953099.0
1842,Amavirase,2018,June,953059.0
2177,Angioparin Brimosumab,2018,July,952754.0
5102,Exotropin Empizine,2018,December,952205.0
7210,Magnemunex,2017,October,952198.0
7044,Lovapur,2020,April,952128.0
3372,Choriotrisin,2018,April,951510.0
5359,Feruprazole,2019,March,951510.0
4419,Diazemid Felcept,2017,February,951376.0
1463,Algluconium Dorzofoxin,2018,September,951327.0
10206,Testant,2019,June,951112.0
2808,Atrabicin Alkerotec,2019,April,950931.0
5096,Exotropin Empizine,2017,May,950635.0
2235,Antaparin Varizyme,2019,February,950589.0
3115,Brimorix Amonine,2020,March,950424.0
800,Adriafinil Ehtymara,2019,May,949625.0
3145,Ceftatana Serolamide,2019,August,949620.0
9394,Secrelazine Insonamic,2019,October,949392.0
7692,Neuropogen Empibax,2018,April,949245.0
2027,Ampinonide,2017,September,949096.0
590,Adalatamine,2018,December,948830.0
7245,Magnemunex,2020,November,948064.0
4485,Diprolimus,2018,November,947830.0
4533,Diprotaine,2018,November,947640.0
10088,Temasone Thiobucil,2017,May,947612.0
1415,Alemtuvatol Megalinum,2018,September,947298.0
10327,Thalilamide,2017,March,947100.0
4370,Diaxolol,2017,December,947070.0
9069,Relenvice,2020,November,946458.0
8927,Raparidol,2020,September,946220.0
8695,Pulmogen Alitora,2017,March,945914.0
2865,Belavarix Benzabicin,2019,November,945820.0
4081,Darlofen,2017,August,945703.0
9885,Symbisine Prednimadin,2020,November,945440.0
448,Acubulin,2018,January,945210.0
3036,Biotasol Siloderm,2018,April,945182.0
6235,Interfeferon Aspipex,2020,March,945152.0
2413,Apronazol,2018,August,944944.0
9187,Robapril,2018,March,944505.0
5539,Fosinofen,2018,March,944405.0
4395,Diaxolol,2019,February,944010.0
184,Abranatal Lysoprosate,2020,January,943866.0
1703,Alpharolac,2018,September,943410.0
5713,Hemavate Spirolinum,2017,August,942900.0
2928,Betanem,2017,April,942773.0
9142,Ribabyclor,2018,October,942690.0
5527,Fosinofen,2017,March,942480.0
10043,Tacrodomide,2017,September,942480.0
6806,Lactubucil,2020,December,942435.0
1196,Aggretisol,2020,May,942414.0
5002,Ergomethate,2017,October,942240.0
2031,Ampinonide,2018,February,941904.0
3217,Cephozumab Synmethate,2017,August,941568.0
10349,Thalilamide,2019,July,941565.0
9364,Secrelazine Insonamic,2017,January,941064.0
3797,Cordamectin Actolamin,2017,July,940988.0
4002,Dantocept Ferurenone,2018,June,940955.0
4379,Diaxolol,2017,September,940950.0
929,Afinitasol,2018,July,940940.0
4574,Docstryl Rivacin,2018,December,940488.0
185,Abranatal Lysoprosate,2020,July,940461.0
6394,Ionclotide,2017,October,940190.0
10112,Temasone Thiobucil,2019,May,939900.0
1731,Alpradipine,2017,February,939840.0
4588,Docstryl Rivacin,2019,January,939699.0
5105,Exotropin Empizine,2018,July,939645.0
10060,Tacrodomide,2019,January,939540.0
5285,Fentatrol Rapatelase,2017,July,938900.0
2269,Antilamin Clinbital,2018,August,938896.0
6549,Kinenadryl,2018,November,938400.0
9437,Sevoderm,2019,July,938145.0
7334,Malavirine Alimdine,2020,December,938041.0
2939,Betanem,2017,September,937885.0
469,Acubulin,2020,August,937860.0
6788,Lactubucil,2018,May,937755.0
7688,Neuropogen Empibax,2017,May,937750.0
9947,Symdocet,2017,September,937650.0
8539,Propralamide Dexlanzolam,2020,March,937618.0
10879,Trazozaprine,2019,March,937392.0
6766,Lacoplex Hyaluvance,2020,October,936536.0
4847,Effigine Propraprex,2020,September,936468.0
7971,Panpion,2017,February,935584.0
11035,Vibratosine Alemtrace,2020,March,935582.0
4430,Diazemid Felcept,2018,December,935438.0
11014,Vibratosine Alemtrace,2018,October,935313.0
3510,Claripenem,2017,June,934976.0
11176,Xenaderal,2020,January,934866.0
1009,Afretosine,2017,August,934856.0
4946,Epzipitant,2017,December,934378.0
3047,Biotasol Siloderm,2018,September,934365.0
6048,Immurenol Temarate,2017,April,934149.0
1913,Amcibax Amcikeran,2020,July,933713.0
1491,Alglutriptan,2017,February,933702.0
5915,Ibrulinum,2017,September,932900.0
9323,Saprodeine Zanprosyn,2017,September,932885.0
4909,Eproline,2018,August,932880.0
2514,Araxetine,2018,June,932850.0
10076,Tacrodomide,2020,May,932820.0
6451,Ketamara Evogel,2018,March,932800.0
2900,Benzoprox,2018,May,932656.0
2271,Antilamin Clinbital,2018,February,932256.0
731,Adriacaine,2017,September,932102.0
6120,Insozyme,2019,April,932065.0
1085,Agalsiline,2019,July,931840.0
4391,Diaxolol,2018,September,931770.0
10875,Trazozaprine,2019,February,931728.0
7618,Microroban Afatigomar,2019,October,931622.0
2305,Aprerase,2017,August,931458.0
611,Adalatamine,2019,September,931362.0
6941,Lioletine Refliruvax,2019,July,931335.0
2043,Ampinonide,2019,February,931240.0
2028,Ampinonide,2018,April,931240.0
7045,Lovapur,2020,August,931190.0
2093,Ampysin,2019,July,931176.0
9119,Requimadin,2020,September,931056.0
6579,Kinerinex,2017,February,931033.0
1411,Alemtuvatol Megalinum,2018,March,930930.0
3940,Cyclovital,2017,January,930875.0
7980,Panpion,2018,April,930740.0
4673,Doxivorin,2018,July,930348.0
9553,Solasteride,2017,August,930280.0
