,Product Class,City,Customer Name,Sales
4374,Mood Stabilizers,Stade,Vandervort LLC Pharm,3461279.0
3561,Antiseptics,Rietberg,Funk PLC Pharma Plc,3457398.0
1672,Antimalarial,Erlangen,Buckridge-Strosin Pharmaceutical Ltd,3456715.0
1864,Antimalarial,Lage,McCullough LLC Pharmaceutical Ltd,3455250.0
4139,Mood Stabilizers,Lindau,McDermott Group Pharmaceutical Ltd,3452670.0
3326,Antiseptics,Kempen,"Wunsch, Mills and Walter Pharm",3452083.0
59,Analgesics,Biberach,Fritsch LLC Pharm,3447859.0
871,Antibiotics,Cologne,"Kuphal, D'Amore and Bode Pharm",3447825.0
2604,Antipiretics,Kulmbach,"Hahn, Rutherford and Gislason Pharm",3445041.0
3762,Mood Stabilizers,Aichach,Hane Ltd Pharmaceutical Ltd,3444925.0
3948,Mood Stabilizers,Freudenstadt,"Kub, Von and Herzog Pharmaceutical Limited",3444569.0
479,Analgesics,Oberursel,"Beer, Kohler and Beatty ",3444423.0
1782,Antimalarial,Herzogenrath,"Leuschke, Waters and Schowalter Pharma Plc",3444393.0
3431,Antiseptics,Mielec,Kreiger Inc Pharma Plc,3443938.0
3925,Mood Stabilizers,Erlangen,Buckridge-Strosin Pharmaceutical Ltd,3441777.0
3876,Mood Stabilizers,Cottbus,Cremin-Zemlak Pharmaceutical Limited,3439379.0
2072,Antimalarial,Rösrath,Leannon-West ,3437224.0
852,Antibiotics,Böblingen,Balistreri Group Pharm,3433191.0
3285,Antiseptics,Hilden,Raynor LLC Pharm,3431686.0
3138,Antiseptics,Delmenhorst,Funk PLC Pharm,3428962.0063899998
1381,Antibiotics,Straubing,"Erdman, Senger and Oberbrunner Pharmacy",3428099.0
4341,Mood Stabilizers,Schwabach,Gottlieb-Cruickshank Pharm,3424331.0
2865,Antipiretics,Sonneberg,"Wisozk, Brekke and Bartoletti ",3422540.0
1348,Antibiotics,Selm,Pfeffer-Kirlin Pharmaceutical Limited,3421706.0
1342,Antibiotics,Schwerin,Reinger Group Pharmaceutical Limited,3420346.0
1506,Antimalarial,Ahaus,"Yundt, Leuschke and Ward Pharma Plc",3416671.0
1407,Antibiotics,Uelzen,Fahey-Flatley Pharmaceutical Ltd,3416225.0
924,Antibiotics,Espelkamp,Paucek PLC ,3415674.0
1679,Antimalarial,Euskirchen,"Reinger, Kihn and Goyette Pharma Plc",3414383.0
4410,Mood Stabilizers,Tübingen,"Langworth, Olson and Satterfield Pharm",3413099.0
1066,Antibiotics,Kamp-Lintfort,Bashirian-Kassulke Pharmacy,3407262.0
4028,Mood Stabilizers,Hemer,"Johns, Mueller and Nitzsche Pharma Plc",3406763.0
3333,Antiseptics,Kitzingen,Hartmann-Wolf Pharmaceutical Limited,3405149.0
3549,Antiseptics,Regensburg,"Effertz, Heaney and Tillman Pharm",3403001.0
3343,Antiseptics,Korschenbroich,"Wiegand, Jast and Yost ",3399397.0
2131,Antimalarial,Stralsund,Kozey Ltd Pharmacy,3398377.0
4402,Mood Stabilizers,Traunstein,Schuppe Inc Pharm,3394670.0
2804,Antipiretics,Rheda-Wiedenbrück,"Hills, Stroman and Ernser ",3393542.0
1684,Antimalarial,Flensburg,Jacobs-Jones Pharmaceutical Ltd,3393253.0
3926,Mood Stabilizers,Eschwege,Crist Inc Pharma Plc,3392305.0
3183,Antiseptics,Falkensee,"Wisozk, Brekke and Bartoletti Pharmacy",3391995.0
3165,Antiseptics,Emden,Welch-Orn Pharm,3390156.0
1126,Antibiotics,Leimen,Watsica-Kovacek Pharmaceutical Ltd,3389808.0
5,Analgesics,Ahlen,Pfeffer-Kirlin Pharmacy,3389539.0
4367,Mood Stabilizers,Sonneberg,"Wisozk, Brekke and Bartoletti ",3385557.0
2166,Antimalarial,Velbert,Feest-Kshlerin ,3385446.0
3078,Antiseptics,Bonn,"Steuber, Skiles and Kilback Pharmaceutical Limited",3384808.0
3579,Antiseptics,Salzkotten,"Leuschke, Waters and Schowalter Pharmacy",3384284.0
2055,Antimalarial,Rheinberg,Runolfsson-Halvorson Pharm,3382678.0
2383,Antipiretics,Datteln,"Steuber, Skiles and Kilback Pharmacy",3379556.0
1189,Antibiotics,Mörfelden-Walldorf,"Koelpin, Luettgen and Abernathy Pharmaceutical Ltd",3378362.0
4464,Mood Stabilizers,Wittenberg,Runte-Marquardt Pharm,3377633.0
2421,Antipiretics,Erkelenz,Purdy Ltd ,3376499.0
3382,Antiseptics,Lemgo,Carter-Conn Pharm,3374566.0
2719,Antipiretics,Nordenham,Pfeffer-Hodkiewicz ,3374406.0
3928,Mood Stabilizers,Espelkamp,Paucek PLC ,3370225.0
1327,Antibiotics,Salzwedel,"Beahan, Littel and Ondricka Pharma Plc",3368594.0
3950,Mood Stabilizers,Friedberg,Gibson-Hill Pharmaceutical Limited,3368068.0
3287,Antiseptics,Hof,"Heathcote, Kovacek and Parker ",3365787.0
1046,Antibiotics,Idar-Oberstein,"Wuckert, Kreiger and Howell ",3364572.0
3213,Antiseptics,Geldern,"Bernier, Murphy and Rau Pharma Plc",3364070.0
2038,Antimalarial,Radebeul,Sipes and Sons Pharma Plc,3363361.0
2857,Antipiretics,Sigmaringen,Daugherty-Rempel Pharmaceutical Limited,3362405.0
355,Analgesics,Königs Wusterhausen,Lesch PLC Pharma Plc,3360920.3319800003
3938,Mood Stabilizers,Forchheim,Buckridge-Davis Pharmaceutical Limited,3358896.0
2657,Antipiretics,Lüneburg,Monahan Ltd Pharmaceutical Ltd,3356352.0
3693,Antiseptics,Weißenfels,Cassin PLC Pharmaceutical Limited,3355303.0
1924,Antimalarial,Merseburg,Weber Ltd Pharmaceutical Ltd,3349176.0
2734,Antipiretics,Oelde,Harris-Conroy Pharm,3343358.0
4021,Mood Stabilizers,Heide,Heller-Abernathy Pharma Plc,3342944.0
3451,Antiseptics,Neckarsulm,Legros-Runte Pharmaceutical Limited,3341155.0
365,Analgesics,Landsberg,Veum and Sons Pharmaceutical Limited,3341012.0
3808,Mood Stabilizers,Bernburg,Walsh-Brown Pharmaceutical Ltd,3340587.658291
3774,Mood Stabilizers,Aschaffenburg,"Hammes, Bashirian and Pacocha ",3340586.0
781,Antibiotics,Bad Nauheim,"Effertz, Heaney and Tillman Pharma Plc",3340071.0
82,Analgesics,Bremen,Mills Inc Pharmacy,3338299.0
3412,Antiseptics,Maintal,Rohan and Sons Pharmaceutical Limited,3333378.0
143,Analgesics,Donauwörth,Rogahn-Klein Pharm,3332649.0
3047,Antiseptics,Barsinghausen,Ward Group Pharma Plc,3331366.0
4313,Mood Stabilizers,Rinteln,Ondricka-Waters Pharmaceutical Limited,3331052.0
923,Antibiotics,Eschweiler,Crona PLC Pharmacy,3330727.0
3969,Mood Stabilizers,Germering,Graham and Sons Pharm,3325576.0
2391,Antipiretics,Dietzenbach,Abernathy and Sons Pharmaceutical Limited,3324483.0
2416,Antipiretics,Emsdetten,Mills Inc Pharmaceutical Ltd,3323782.0
2186,Antimalarial,Weimar,Terry-Kub Pharma Plc,3322706.0
3974,Mood Stabilizers,Gladbeck,Jakubowski Inc Pharmacy,3320212.0
2627,Antipiretics,Leichlingen,Durgan-Rice Pharmaceutical Ltd,3320013.0
2923,Antipiretics,Waiblingen,"Koch, Borer and Hagenes Pharm",3319107.0
2691,Antipiretics,Mörfelden-Walldorf,"Koelpin, Luettgen and Abernathy Pharmaceutical Ltd",3318286.0
2065,Antimalarial,Rottweil,Vandervort LLC Pharmaceutical Ltd,3317675.0
3329,Antiseptics,Kevelaer,Emard-O'Connell Pharmaceutical Ltd,3317528.0
3967,Mood Stabilizers,Gera,Steuber Ltd Pharm,3316522.0
2561,Antipiretics,Jena,Fahey-Prosacco Pharmacy,3314605.0
4204,Mood Stabilizers,Neu Isenburg,Daugherty-Rempel Pharm,3313430.0
3214,Antiseptics,Gelsenkirchen,Keeling LLC Pharmaceutical Limited,3309877.0
4162,Mood Stabilizers,Magdeburg,"Johns, Mueller and Nitzsche ",3306468.0
1436,Antibiotics,Weingarten,Hermiston LLC Pharmaceutical Ltd,3305706.0
3054,Antiseptics,Bergisch Gladbach,Konopelski-Blick ,3305527.0
3179,Antiseptics,Esslingen,"Cormier, Dietrich and Zulauf Pharmaceutical Limited",3302502.0
2409,Antipiretics,Ehingen an der Donau,White Inc Pharm,3301195.0
4046,Mood Stabilizers,Höxter,Bosco-Marquardt Pharmaceutical Ltd,3296478.0
323,Analgesics,Kempten,"Daniel, Baumbach and Nitzsche Pharmacy",3295387.0
301,Analgesics,Iserlohn,"Ondricka, Rosenbaum and Beahan Pharm",3294726.46154
1803,Antimalarial,Iserlohn,"Ondricka, Rosenbaum and Beahan Pharm",3291878.0
700,Analgesics,Wiesbaden,Runolfsson-Powlowski Pharmaceutical Limited,3290920.0
1629,Antimalarial,Dachau,Goldner-Tillman Pharm,3290752.0
1540,Antimalarial,Bad Vilbel,Kohler-Bednar Pharm,3289726.0
4178,Mood Stabilizers,Merzig,Feest-Kshlerin Pharma Plc,3289577.0
1955,Antimalarial,Neumarkt,Lindgren-Simonis Pharmacy,3287536.0
188,Analgesics,Frechen,Roob PLC Pharmaceutical Limited,3287467.0
3249,Antiseptics,Göttingen,"Roob, Ernser and Kub Pharmacy",3284901.0
4033,Mood Stabilizers,Herrenberg,"Hansen, Fadel and Schroeder Pharmaceutical Ltd",3283222.0
4141,Mood Stabilizers,Lippstadt,"Wuckert, Kreiger and Howell Pharma Plc",3281217.0
3625,Antiseptics,Starnberg,"Blanda, Stehr and Gleason Pharma Plc",3276016.0
3332,Antiseptics,Kirchheim unter Teck,Smith Inc Pharmacy,3273556.0
1251,Antibiotics,Overath,"Reinger, Kihn and Goyette Pharmaceutical Limited",3270638.0
1263,Antibiotics,Pfungstadt,Wolff Group ,3270603.0
4173,Mood Stabilizers,Meißen,"Harris, Daugherty and Okuneva Pharmaceutical Limited",3269951.0
404,Analgesics,Lüneburg,Monahan Ltd Pharmaceutical Ltd,3269939.0
1774,Antimalarial,Helmstedt,Huels-Klein Pharmaceutical Ltd,3268724.0
4356,Mood Stabilizers,Siegen,Balistreri-Watsica Pharma Plc,3268652.0
833,Antibiotics,Bremen,Mills Inc Pharmacy,3268069.0
177,Analgesics,Euskirchen,"Reinger, Kihn and Goyette Pharma Plc",3265849.0
2955,Antipiretics,Wilhelmshaven,Harris-Conroy Pharmacy,3263950.0
545,Analgesics,Regensburg,"Effertz, Heaney and Tillman Pharm",3263798.0
2466,Antipiretics,Geretsried,"Erdman, Senger and Oberbrunner Pharmaceutical Ltd",3262794.0
7,Analgesics,Aichach,Hane Ltd Pharmaceutical Ltd,3256045.0
683,Analgesics,Weilheim,Rohan Inc Pharm,3255362.0
1197,Antibiotics,Naumburg,"Towne, Cummerata and Blanda Pharmaceutical Limited",3252898.0
3634,Antiseptics,Straubing,"Erdman, Senger and Oberbrunner Pharmacy",3252678.0
283,Analgesics,Hof,"Heathcote, Kovacek and Parker ",3249116.0
403,Analgesics,Lüdenscheid,Rosenbaum-Tromp Pharmacy,3248350.0
1192,Antibiotics,Mühlhausen,Upton PLC Pharmaceutical Limited,3247072.0
3671,Antiseptics,Viersen,Crona Group ,3246469.0
329,Analgesics,Kitzingen,Hartmann-Wolf Pharmaceutical Limited,3245689.0
121,Analgesics,Cottbus,Cremin-Zemlak Pharmaceutical Limited,3245601.0
198,Analgesics,Fulda,"Brakus, Rempel and Harber Pharmacy",3245244.0
721,Analgesics,Würzburg,"Blick, Pacocha and Schowalter Pharmacy",3243714.0
3131,Antiseptics,Dachau,Goldner-Tillman Pharm,3243127.0
3083,Antiseptics,Brandenburg,Bosco-Marquardt Pharmaceutical Limited,3242430.0
1770,Antimalarial,Heidenheim,Hoeger Ltd ,3241720.0
2946,Antipiretics,Wesel,Murray PLC ,3241645.0
3428,Antiseptics,Meschede,"Langworth, Olson and Satterfield Pharmacy",3239217.0
4126,Mood Stabilizers,Leer,Heidenreich Group Pharmacy,3237135.0
934,Antibiotics,Forchheim,Buckridge-Davis Pharmaceutical Limited,3236057.0
1841,Antimalarial,Korschenbroich,"Wiegand, Jast and Yost ",3235806.0
3829,Mood Stabilizers,Bonn,"Steuber, Skiles and Kilback Pharmaceutical Limited",3232788.0
3166,Antiseptics,Emmendingen,"Spinka, Schowalter and Conn Pharma Plc",3232532.0
3931,Mood Stabilizers,Ettlingen,"Fritsch, Hodkiewicz and Sipes Pharma Plc",3227009.0
2052,Antimalarial,Reutlingen,Botsford PLC ,3224706.0
1903,Antimalarial,Lübbecke,Homenick-Larson ,3224469.0
3302,Antiseptics,Ingelheim,Predovic LLC Pharmaceutical Limited,3222559.0
148,Analgesics,Dresden,Rutherford and Sons Pharmaceutical Ltd,3220729.0
2208,Antimalarial,Wismar,Veum-Kerluke Pharma Plc,3220674.0
3155,Antiseptics,Düren,Stanton-Cole Pharmacy,3217748.0
3273,Antiseptics,Heilbronn,Kling Inc Pharm,3216023.0
2747,Antipiretics,Osterode,Feest-Roob Pharmaceutical Limited,3215616.0
537,Analgesics,Radolfzell am Bodensee,Streich PLC Pharm,3213393.0
3940,Mood Stabilizers,Frankenthal,McDermott Inc Pharmacy,3211492.0
2537,Antipiretics,Hofheim,Gerlach LLC Pharmacy,3208533.25
274,Analgesics,Hennigsdorf,Leffler-Russel Pharmaceutical Limited,3206868.0
3859,Mood Stabilizers,Calw,Pfannerstill Group ,3201809.0
3945,Mood Stabilizers,Freiburg im Breisgau,Abernathy and Sons ,3198253.0
3038,Antiseptics,Bad Reichenhall,Gleason PLC Pharma Plc,3196836.0
4020,Mood Stabilizers,Hattingen,Gottlieb-Koss Pharm,3195803.0
1777,Antimalarial,Heppenheim,"Bogan, Jacobs and Kris Pharmaceutical Ltd",3193200.0
2444,Antipiretics,Freising,"Gleichner, Bahringer and Morar Pharmaceutical Limited",3192125.0
3830,Mood Stabilizers,Borken,"Kub, Von and Herzog Pharmaceutical Ltd",3191396.0
4312,Mood Stabilizers,Rietberg,Funk PLC Pharma Plc,3190123.0
704,Analgesics,Winnenden,"Brakus, Rempel and Harber Pharm",3190114.0
1796,Antimalarial,Ibbenbüren,"Lebsack, Yost and Heller Pharma Plc",3189791.0
398,Analgesics,Lwówek Śląski,Koss Ltd Pharmaceutical Limited,3189449.0
470,Analgesics,Northeim,"Nitzsche, Effertz and Maggio Pharmaceutical Limited",3185870.0
4380,Mood Stabilizers,Steinfurt,Wehner-Stehr ,3183320.0
34,Analgesics,Bad Reichenhall,Gleason PLC Pharma Plc,3182885.0
1137,Antibiotics,Lippstadt,"Wuckert, Kreiger and Howell Pharma Plc",3182823.0
3400,Antiseptics,Ludwigsfelde,"Denesik, Walter and Beatty Pharmacy",3182249.0
1217,Antibiotics,Nordenham,Pfeffer-Hodkiewicz ,3181952.0
3791,Mood Stabilizers,Bad Salzungen,Graham and Sons Pharma Plc,3181070.0
2275,Antipiretics,Aurich,"Barrows, Zboncak and Reichert Pharm",3180549.0
3875,Mood Stabilizers,Cologne,"Kuphal, D'Amore and Bode Pharm",3179862.0
3373,Antiseptics,Langenhagen,Kozey-Schroeder Pharma Plc,3174932.0
2328,Antipiretics,Borken,"Kub, Von and Herzog Pharmaceutical Ltd",3174271.0
3340,Antiseptics,Korbach,Purdy Ltd Pharm,3173643.0
482,Analgesics,Oer-Erkenschwick,"Roob, Ernser and Kub Pharmaceutical Ltd",3170421.0
378,Analgesics,Lemgo,Carter-Conn Pharm,3169004.0
1906,Antimalarial,Lüneburg,Monahan Ltd Pharmaceutical Ltd,3167199.0
1029,Antibiotics,Herrenberg,"Hansen, Fadel and Schroeder Pharmaceutical Ltd",3166730.0
616,Analgesics,Speyer,Barrows Inc Pharmaceutical Limited,3166390.0
2673,Antipiretics,Memmingen,"Beahan, Littel and Ondricka ",3163082.0
1529,Antimalarial,Bad Honnef am Rhein,Balistreri Group Pharmacy,3161450.0
1106,Antibiotics,Königs Wusterhausen,Lesch PLC Pharma Plc,3159232.0
949,Antibiotics,Fulda,"Brakus, Rempel and Harber Pharmacy",3157613.0
3986,Mood Stabilizers,Greven,"Kertzmann, Quitzon and Harris ",3156102.0
3368,Antiseptics,Landau,Trantow LLC Pharmacy,3154416.0
890,Antibiotics,Dillingen,"Pfannerstill, Upton and Balistreri Pharmacy",3153750.0
45,Analgesics,Bautzen,"Funk, Ratke and Heaney Pharma Plc",3150774.0
898,Antibiotics,Dreieich,Skiles-McKenzie Pharmacy,3149311.0
2215,Antimalarial,Wolfsburg,"Hansen, Fadel and Schroeder Pharma Plc",3149189.0
1343,Antibiotics,Schwerte,Franecki Inc Pharma Plc,3149049.0
3943,Mood Stabilizers,Frechen,Roob PLC Pharmaceutical Limited,3148482.0
2456,Antipiretics,Garbsen,Schimmel-Waelchi Pharma Plc,3143782.0
2945,Antipiretics,Wernigerode,"Nolan, DuBuque and Schultz Pharmacy",3142987.0
2940,Antipiretics,Weiterstadt,Roob PLC Pharm,3138160.0
4056,Mood Stabilizers,Iserlohn,"Ondricka, Rosenbaum and Beahan Pharm",3137836.0
2985,Antipiretics,Zittau,"Hills, Stroman and Ernser Pharmaceutical Ltd",3135627.0
253,Analgesics,Hagen,Fahey-Flatley ,3130362.0
2780,Antipiretics,Prenzlau,Rohan and Sons Pharma Plc,3129589.0
2293,Antipiretics,Baesweiler,"Parker, Green and Emmerich Pharma Plc",3129026.0
2808,Antipiretics,Rheinfelden (Baden),Osinski-Collins ,3128898.0
292,Analgesics,Hückelhoven,Beier PLC Pharm,3126864.0
28,Analgesics,Bad Kissingen,Miller-Satterfield Pharmaceutical Limited,3125819.0
465,Analgesics,Norden,Franecki Inc Pharmacy,3124980.0
4249,Mood Stabilizers,Osterode,Feest-Roob Pharmaceutical Limited,3124434.0
2298,Antipiretics,Bautzen,"Funk, Ratke and Heaney Pharma Plc",3119983.0
2968,Antipiretics,Worms,Leuschke PLC Pharmaceutical Ltd,3118904.0
3491,Antiseptics,Olpe,Schaefer Group ,3118822.2
1337,Antibiotics,Schwabach,Gottlieb-Cruickshank Pharm,3118616.0
2740,Antipiretics,Olpe,Schaefer Group ,3116465.0
3126,Antiseptics,Crailsheim,Runolfsson-Powlowski Pharmacy,3116454.0
3488,Antiseptics,Olching,Schimmel-Waelchi Pharmaceutical Limited,3115244.0
966,Antibiotics,Germersheim,Schaefer-Rolfson Pharmacy,3113675.0
2438,Antipiretics,Frankenthal,McDermott Inc Pharmacy,3112997.0
2106,Antimalarial,Sigmaringen,Daugherty-Rempel Pharmaceutical Limited,3112497.0
382,Analgesics,Lichtenfels,Kris LLC Pharmaceutical Ltd,3112368.0
4294,Mood Stabilizers,Rastatt,Koss-Beier Pharmaceutical Limited,3111766.0
180,Analgesics,Fellbach,VonRueden-Adams Pharmaceutical Limited,3111389.0
882,Antibiotics,Deggendorf,Dach PLC ,3110992.0
3286,Antiseptics,Hildesheim,"Corkery, Trantow and Ferry Pharm",3109538.0
2395,Antipiretics,Ditzingen,Fadel-West Pharmacy,3108036.0
2655,Antipiretics,Lübeck,Kohler-Bednar Pharmaceutical Ltd,3106255.0
1451,Antibiotics,Wiesbaden,Runolfsson-Powlowski Pharmaceutical Limited,3105832.0
3784,Mood Stabilizers,Bad Kreuznach,"Paucek, Keeling and Bruen Pharmaceutical Limited",3102655.0
857,Antibiotics,Celle,Barton Ltd Pharmaceutical Limited,3101220.0
1917,Antimalarial,Mechernich,Sauer and Sons ,3100785.0
4224,Mood Stabilizers,Nordhorn,"Denesik, Walter and Beatty ",3099263.0
1701,Antimalarial,Fürstenfeldbruck,"Rosenbaum, Klein and Herzog Pharmaceutical Ltd",3096097.0
1008,Antibiotics,Halle,Weber Ltd Pharmacy,3095572.0
1360,Antibiotics,Soest,Senger-Kirlin Pharma Plc,3095190.0
3981,Mood Stabilizers,Goslar,Kertzmann-Ward Pharmaceutical Limited,3093610.0
1028,Antibiotics,Herne,Buckridge-Davis Pharmaceutical Ltd,3092162.0
3241,Antiseptics,Groß-Gerau,Okuneva-Corkery Pharm,3088487.0
420,Analgesics,Memmingen,"Beahan, Littel and Ondricka ",3086701.0
3300,Antiseptics,Idstein,Runte-Marquardt Pharmacy,3084585.0
2189,Antimalarial,Weiterstadt,Roob PLC Pharm,3083622.0
1937,Antimalarial,Munich,Upton PLC Pharma Plc,3083018.0
2534,Antipiretics,Hilden,Raynor LLC Pharm,3081394.0
2154,Antimalarial,Tuttlingen,"Zieme, Doyle and Kunze Pharmacy",3081262.0
3391,Antiseptics,Lohmar,Quigley-Heathcote Pharmaceutical Ltd,3081169.0
903,Antibiotics,Düsseldorf,Jast-Cruickshank Pharmaceutical Ltd,3077376.0
1981,Antimalarial,Oberursel,"Beer, Kohler and Beatty ",3075215.0
3953,Mood Stabilizers,Fulda,"Brakus, Rempel and Harber Pharmacy",3074771.0
3793,Mood Stabilizers,Bad Vilbel,Kohler-Bednar Pharm,3073319.0
3371,Antiseptics,Langen,Romaguera-Fay Pharmaceutical Ltd,3072593.0
3196,Antiseptics,Freital,Erdman PLC Pharma Plc,3071275.0
2818,Antipiretics,Rudolstadt,Bayer LLC ,3070742.0
2635,Antipiretics,Lichtenfels,Kris LLC Pharmaceutical Ltd,3070384.0
2508,Antipiretics,Halberstadt,Kris LLC Pharmacy,3067858.0
3097,Antiseptics,Brühl,Buckridge Inc Pharm,3066973.0
3584,Antiseptics,Sankt Ingbert,Jast-Cruickshank Pharmacy,3061973.0
4399,Mood Stabilizers,Teltow,Barrows Inc Pharmacy,3057872.0
2429,Antipiretics,Ettlingen,"Fritsch, Hodkiewicz and Sipes Pharma Plc",3056953.0
2129,Antimalarial,Stendal,Schaefer LLC Pharma Plc,3055991.0
1236,Antibiotics,Oldenburg,"Nolan, DuBuque and Schultz ",3055703.0
3715,Antiseptics,Wittmund,Prohaska-Kuhic Pharmaceutical Limited,3052548.0
4192,Mood Stabilizers,Mönchengladbach,Ward Group Pharm,3050164.0
4403,Mood Stabilizers,Trier,Reichel Inc ,3049158.0
4125,Mood Stabilizers,Lauf,"Koch, Borer and Hagenes Pharmaceutical Ltd",3048853.0
4172,Mood Stabilizers,Meiningen,Friesen Group ,3044188.0
317,Analgesics,Kassel,Haley PLC Pharmacy,3043842.0
411,Analgesics,Mannheim,Heidenreich Group Pharm,3043583.0
583,Analgesics,Schloß Holte-Stukenbrock,Crona PLC Pharmaceutical Ltd,3041403.0
3023,Antiseptics,Aschaffenburg,"Hammes, Bashirian and Pacocha ",3040972.0
315,Analgesics,Kamp-Lintfort,Bashirian-Kassulke Pharmacy,3040133.0
4034,Mood Stabilizers,Herten,Kris LLC Pharmaceutical Limited,3038915.0
520,Analgesics,Plettenberg,Zemlak-Witting Pharmaceutical Limited,3035515.0
2288,Antipiretics,Bad Salzuflen,Mraz-Kutch Pharmacy,3035358.0
3220,Antiseptics,Gevelsberg,Hermiston LLC Pharmaceutical Limited,3034199.0
3281,Antiseptics,Herne,Buckridge-Davis Pharmaceutical Ltd,3033004.0
2874,Antipiretics,Starnberg,"Blanda, Stehr and Gleason Pharma Plc",3032684.0
1077,Antibiotics,Kiel,Lockman-Welch ,3031797.0
19,Analgesics,Aschaffenburg,"Hammes, Bashirian and Pacocha ",3030651.0
4352,Mood Stabilizers,Selm,Pfeffer-Kirlin Pharmaceutical Limited,3027493.57143
751,Antibiotics,Aachen,Medhurst-Beer ,3027360.0
4091,Mood Stabilizers,Korbach,Purdy Ltd Pharm,3026034.0
1121,Antibiotics,Lauf,"Koch, Borer and Hagenes Pharmaceutical Ltd",3024527.0
4389,Mood Stabilizers,Suhl,Will and Sons Pharmacy,3022379.0
3341,Antiseptics,Kornwestheim,Schulist-Zulauf Pharmaceutical Ltd,3021526.0
1797,Antimalarial,Idar-Oberstein,"Wuckert, Kreiger and Howell ",3019367.0
1583,Antimalarial,Braunschweig,"Heathcote, Grant and Witting Pharmacy",3016097.0
3045,Antiseptics,Balingen,"Heathcote, Grant and Witting Pharmaceutical Limited",3015544.0
203,Analgesics,Garbsen,Schimmel-Waelchi Pharma Plc,3015313.0
3702,Antiseptics,Wiehl,Denesik-Hintz Pharma Plc,3015068.0
2574,Antipiretics,Kelkheim (Taunus),"Upton, Abernathy and Goodwin Pharm",3014682.0
3635,Antiseptics,Strausberg,Raynor LLC Pharmaceutical Limited,3011128.0
366,Analgesics,Landshut,"Hirthe, Williamson and Macejkovic Pharmacy",3010871.0
2814,Antipiretics,Rostock,"Kshlerin, Ryan and Leuschke Pharm",3009419.0
4419,Mood Stabilizers,Velbert,Feest-Kshlerin ,3009187.0
2314,Antipiretics,Bielefeld,"Crist, Wisoky and Nolan Pharm",3006713.0
495,Analgesics,Ostfildern,"Rodriguez, Stokes and Dickens ",3005885.0
628,Analgesics,Stolberg,Cartwright-Fay ,3003315.0
3293,Antiseptics,Hoyerswerda,Parisian Ltd Pharmacy,3002250.0
3478,Antiseptics,Nuremberg,McCullough LLC Pharmaceutical Limited,2999166.0
3089,Antiseptics,Brilon,"Gleichner, Bahringer and Morar Pharmacy",2998051.0
3205,Antiseptics,Fürth,Fritsch-Hauck Pharmaceutical Ltd,2997606.0
3738,Antiseptics,Zweibrücken,Lockman-Welch Pharmaceutical Limited,2997564.0
2854,Antipiretics,Siegen,Balistreri-Watsica Pharma Plc,2996770.0
3797,Mood Stabilizers,Bamberg,Ondricka Ltd Pharmaceutical Ltd,2996346.0
1416,Antibiotics,Verl,Rowe PLC Pharm,2993612.0
483,Analgesics,Offenburg,Marquardt PLC Pharmaceutical Ltd,2992963.0
1447,Antibiotics,Wetter (Ruhr),Marquardt PLC ,2991894.0
2402,Antipiretics,Duisburg,Breitenberg-Kuhn ,2989508.0
1170,Antibiotics,Melle,Abernathy Group Pharmacy,2988888.0
185,Analgesics,Frankenthal,McDermott Inc Pharmacy,2987601.0
158,Analgesics,Eisenach,Kunze PLC Pharma Plc,2987407.0
3816,Mood Stabilizers,Bielefeld,"Crist, Wisoky and Nolan Pharm",2987082.0
1322,Antibiotics,Saalfeld,Ondricka Ltd ,2986974.0
210,Analgesics,Gelsenkirchen,Keeling LLC Pharmaceutical Limited,2983526.0
20,Analgesics,Aschersleben,West Group Pharma Plc,2981985.0
3161,Antiseptics,Einbeck,Fahey-Prosacco Pharmaceutical Limited,2981734.0
2327,Antipiretics,Bonn,"Steuber, Skiles and Kilback Pharmaceutical Limited",2978636.0
610,Analgesics,Solingen,Zemlak Group Pharmacy,2978473.0
4316,Mood Stabilizers,Rostock,"Kshlerin, Ryan and Leuschke Pharm",2975206.0
3162,Antiseptics,Eisenach,Kunze PLC Pharma Plc,2974685.0
593,Analgesics,Schwäbisch Gmünd,Cummings LLC ,2972471.0
2869,Antipiretics,Speyer,Barrows Inc Pharmaceutical Limited,2971828.0
3015,Antiseptics,Alzey,"Will, McGlynn and Fritsch Pharmaceutical Limited",2970384.0
2193,Antimalarial,Wermelskirchen,"Crist, Wisoky and Nolan Pharmaceutical Limited",2965329.0
3761,Mood Stabilizers,Ahrensburg,"Schinner, Gaylord and Treutel Pharmaceutical Limited",2957443.0
313,Analgesics,Kamen,"Blanda, Stehr and Gleason Pharmaceutical Ltd",2957399.0
1678,Antimalarial,Ettlingen,"Fritsch, Hodkiewicz and Sipes Pharma Plc",2956894.0
853,Antibiotics,Bühl,Rosenbaum-Tromp Pharm,2955680.0
731,Analgesics,Zirndorf,Doyle-Tillman Pharmaceutical Limited,2953836.0
1060,Antibiotics,Jülich,Lemke Ltd Pharmaceutical Limited,2953450.0
1278,Antibiotics,Prenzlau,Rohan and Sons Pharma Plc,2953111.0
1136,Antibiotics,Lingen,Leffler-Russel Pharmaceutical Ltd,2952988.0
2582,Antipiretics,Kitzingen,Hartmann-Wolf Pharmaceutical Limited,2947671.0
4328,Mood Stabilizers,Saarlouis,Dach Ltd Pharm,2947214.0
